3236,1753,2066,830,2100,1304,1203
3253,1826,1904,829,2086,1514,1201
3144,1836,1921,827,2077,1615,1227
3078,1834,2029,828,2079,1562,1227
3040,1830,2108,828,2078,1497,1226
3005,1830,2165,828,2080,1362,1178
3115,1793,2012,829,2097,1172,1013
3177,1848,1822,828,2082,1463,1103
3120,1848,1944,828,2080,1520,1147
3120,1847,2095,828,2080,1485,1180
3116,1846,2193,828,2079,1432,1180
3083,1802,2364,829,2092,1295,1224
3141,1777,2248,830,2099,1208,1161
3141,1778,2169,830,2101,1197,1150
3141,1778,1959,829,2099,1203,1148
3139,1886,1960,827,2082,1345,1121
3129,1884,2022,828,2079,1323,1145
3037,1885,2111,828,2081,1321,1144
3016,1866,2240,828,2092,1216,1145
3098,1809,2176,829,2101,1156,1088
3148,1812,1996,830,2098,1310,1146
3148,1855,1945,830,2100,1322,1145
3159,1986,1896,829,2084,1393,1142
3145,1983,1937,829,2077,1400,1142
3058,1984,1996,829,2083,1400,1141
3054,1983,1997,829,2083,1398,1141
3049,1984,1997,829,2083,1396,1141
3018,1983,1998,829,2082,1388,1141
2963,1983,2001,827,2077,1337,1140
2943,1972,2156,828,2088,1252,1114
3108,1979,2083,829,2099,1176,1119
3161,1979,2011,829,2098,1301,1204
3181,1970,2055,828,2077,1448,1286
3081,1973,2219,828,2083,1379,1203
2995,1976,2219,829,2089,1222,1009
3281,1998,2219,829,2100,1236,1191
3319,1946,2218,829,2101,1259,1192
3368,1945,2218,830,2099,1322,1309
3364,1846,2219,829,2090,1366,1308
3205,1832,2220,829,2084,1403,1276
3118,1872,2218,829,2094,1143,1050
3158,1873,2195,829,2097,1121,1124
3273,1874,2055,829,2096,1176,1123
3312,1876,2034,830,2095,1264,1122
3270,1937,2064,828,2077,1452,1190
3150,1940,2130,828,2079,1418,1189
3077,1939,2190,828,2080,1335,1188
3049,1938,2213,829,2093,1178,1029
3066,1939,2210,829,2099,1088,982
3193,1938,2198,829,2099,1154,1127
3260,1938,2105,829,2098,1219,1128
3272,1937,2009,829,2098,1326,1128
3272,1937,1985,829,2090,1462,1222
3226,1934,1998,828,2078,1463,1220
3138,1936,2027,828,2080,1452,1219
3079,1936,2065,828,2079,1451,1219
3003,1939,2168,828,2081,1345,1127
3005,1941,2199,829,2091,1219,1106
3005,1938,2132,829,2101,1119,1098
3092,1920,2073,829,2100,1118,1110
3317,1877,2060,829,2098,1229,1245
3366,1868,2062,851,2087,1411,1331
3269,1825,2063,851,2081,1433,1328
3146,1827,2066,848,2080,1408,1283
3059,1829,2066,832,2080,1391,1191
2995,1847,2066,827,2079,1348,1098
2957,1920,2066,827,2080,1223,1048
2964,1970,2066,828,2095,1122,1049
3145,1966,2021,829,2096,1270,1172
3143,1957,2021,828,2075,1417,1201
3071,1958,2183,828,2081,1391,1201
3063,1958,2269,828,2086,1303,1202
3065,1934,2280,829,2096,1206,1150
3066,1899,2209,829,2100,1146,1149
3071,1899,2125,829,2100,1128,1148
3135,1898,2079,829,2099,1124,1152
3258,1897,2009,829,2099,1201,1219
3283,1892,1955,829,2098,1250,1219
3280,1868,1942,828,2075,1440,1219
3251,1870,2026,828,2079,1452,1219
3197,1871,2073,828,2080,1447,1220
3125,1871,2074,828,2079,1428,1218
2991,1871,2162,827,2078,1356,1127
2984,1874,2239,829,2095,1258,1113
3056,1874,2163,829,2100,1173,1115
3190,1872,2048,829,2099,1200,1115
3247,1871,2011,829,2099,1245,1116
3295,1870,2002,829,2096,1363,1212
3301,1867,2003,829,2079,1501,1261
3229,1867,2011,828,2075,1515,1261
3143,1867,2049,828,2075,1515,1260
3039,1868,2155,828,2079,1482,1255
3005,1868,2224,828,2083,1420,1206
